Id,Date,Open,High,Low,Close,Volume
326,4/27/2015,80.91,81.2,80.47,80.6,9192250
327,4/28/2015,80.73,80.82,80.19,80.42,8395450
328,4/29/2015,80,80.31,79.72,79.85,11858459
329,4/30/2015,79.95,80.15,79.07,79.51,9409334
330,5/1/2015,79.76,80.32,79.63,80.29,8192966
331,5/4/2015,80.48,80.97,80.3,80.35,7203759
332,5/5/2015,80.5,80.65,79.78,80.07,6589434
333,5/6/2015,80.34,80.58,79.52,80.4,7335742
334,5/7/2015,80.37,80.55,80,80.2,7224338
335,5/8/2015,80.89,81.21,80.82,80.96,6929376
336,5/11/2015,80.95,80.99,80.26,80.27,5237754
337,5/12/2015,80.03,80.29,79.36,79.95,6305837
338,5/13/2015,80.16,80.59,79.55,79.7,6459854
339,5/14/2015,80.11,80.69,80.09,80.57,5634158
340,5/15/2015,80.83,81.12,80.73,81.05,7454848
341,5/18/2015,80.97,81.13,80.5,80.74,5590781
342,5/19/2015,80.75,80.95,80.33,80.83,5729453
343,5/20/2015,80.93,81,80.45,80.48,5486969
344,5/21/2015,80.17,80.58,79.84,80.41,6055727
345,5/22/2015,80.24,80.4,79.92,79.95,6003623
346,5/26/2015,79.97,80.07,78.94,79.14,6698256
347,5/27/2015,79.22,79.94,79.09,79.39,8094560
348,5/28/2015,79.43,79.45,79.02,79.33,5803445
349,5/29/2015,79.18,79.24,78.19,78.39,12551704
350,6/1/2015,78.65,79.07,78.27,78.85,7588036
351,6/2/2015,78.46,78.72,78.17,78.54,7380764
352,6/3/2015,78.91,78.93,78.27,78.56,5985813
353,6/4/2015,78.41,78.84,78.06,78.15,7714574
354,6/5/2015,78.04,78.12,77.37,77.43,9439700
355,6/8/2015,77.48,77.98,77.1,77.71,10916201
356,6/9/2015,77.97,79.33,77.82,78.9,11528875
357,6/10/2015,79.23,79.79,79.01,79.54,9483534
358,6/11/2015,79.93,79.93,79.24,79.41,7633332
359,6/12/2015,79.17,79.32,78.57,78.87,6508632
360,6/15/2015,78.33,78.46,77.93,78.12,7527947
361,6/16/2015,79.6,79.6,78.54,79.1,8285671
362,6/17/2015,79.2,80.19,79.16,80.08,9305776
363,6/18/2015,80.33,81.22,80.3,80.82,10712462
364,6/19/2015,80.71,81.2,80.48,80.54,15598811
365,6/22/2015,80.92,81.18,80.33,80.45,6907940
366,6/23/2015,80.33,80.45,79.62,79.79,7190628
367,6/24/2015,79.8,79.85,79.5,79.51,8843732
368,6/25/2015,79.71,79.9,79.39,79.39,5855728
369,6/26/2015,79.54,79.74,79.28,79.34,7703191
370,6/29/2015,78.95,79.37,78.26,78.32,7966240
371,6/30/2015,78.92,79.01,78.13,78.24,8451427
372,7/1/2015,78.39,79.76,78.12,79.72,8868020
373,7/2/2015,80.01,80.35,79.77,79.93,6602521
